,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
7,3408,USDC,USDC,usd-coin,24055,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,42854056614.38153,42854056614.38153,False,,8,,,,2024-12-21T11:40:00.000Z,1.0000945407910566,11170089431.911816,-32.1401,0.00175414,0.02899284,0.02947406,0.0303424,0.02941208,-0.019836,42858108070.79384,1.2597,42858108070.79,,2024-12-21T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-21 14:41:22.753072
8,2010,Cardano,ADA,cardano,1418,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35126169612.19378,44995107818.69111,False,,9,,,,2024-12-21T11:40:00.000Z,0.9600838062486046,2230236672.1475353,-15.3865,-1.10015548,22.65355377,-12.76361405,22.04945846,164.96392109,172.30358107,33724066620.209072,0.9912,43203771281.19,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
9,1958,TRON,TRX,tron,1086,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86218994518.83397,86219009590.3785,True,,10,,,,2024-12-21T11:39:00.000Z,0.25111921780193963,1515979991.0500035,-35.0107,-0.39988785,10.34744692,-14.79783712,26.29067314,57.37950524,65.89588505,21651246463.239307,0.6362,21651250247.99,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:41:22.753072
10,5805,Avalanche,AVAX,avalanche,828,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409802747.8651877,448139047.8651877,False,,11,,,,2024-12-21T11:40:00.000Z,40.584189101164164,1022193602.4236841,-26.3242,-0.84624029,18.29422548,-23.66653707,19.62940531,45.54685426,50.60951479,16631512213.537476,0.4888,29048081360.81,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
11,1975,Chainlink,LINK,chainlink,1902,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2024-12-21T11:40:00.000Z,23.843139647660028,1730965848.2340536,-15.3301,-1.14965543,17.20425854,-20.68878331,64.07762451,95.75266222,112.30630561,15214306704.67353,0.4472,23843139647.66,,2024-12-21T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-12-21 14:41:22.753072
12,11419,Toncoin,TON,toncoin,641,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2551720579.1497045,5117909677.204612,True,,13,3414166606.0,18764747811.793682,,2024-12-21T11:39:00.000Z,5.496142976390439,391698479.8276313,-43.7999,-0.66393236,13.39635769,-11.91856665,1.33875417,4.42452864,-1.07047378,14024621138.80459,0.4121,28128763326.17,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:41:22.753072
13,20947,Sui,SUI,sui,491,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,14,,,,2024-12-21T11:40:00.000Z,4.751578869279189,3912119809.1251836,13.1437,-0.27455365,33.79551232,2.17717617,38.96818153,142.27416802,219.27906024,13911007480.617931,0.4089,47515788692.79,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:41:22.753072
14,5994,Shiba Inu,SHIB,shiba-inu,921,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255482512103.4,589508569657872.1,False,,15,,,,2024-12-21T11:40:00.000Z,2.3001231655253813e-05,1438645164.8641682,-21.9448,-1.19948233,21.92837521,-18.15178184,-3.74325316,25.91932242,58.5779427,13553601857.389252,0.3984,13559423173.46,,2024-12-21T11:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-21 14:41:22.753072
0,1,Bitcoin,BTC,bitcoin,11849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19799115.0,19799115.0,False,,1,,,,2024-12-21T11:40:00.000Z,98224.96906772965,80276075133.10776,-27.0899,0.02246834,5.42492538,-3.32270245,0.42199229,45.8656551,56.30172556,1944767458443.422,57.141,2062724350422.32,,2024-12-21T11:40:00.000Z,,,,,,2024-12-21 14:42:23.071255
1,1027,Ethereum,ETH,ethereum,9710,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120453570.82352062,120453570.82352062,True,,2,,,,2024-12-21T11:41:00.000Z,3445.7173205019885,46331069362.59052,-32.7266,-0.45323212,10.4577213,-11.69039359,9.71327405,30.77062187,33.28482954,415048955302.91797,12.1988,415048955302.92,,2024-12-21T11:41:00.000Z,,,,,,2024-12-21 14:42:23.071255
